Speaker A,Speaker B,Score,Test
7226,7226,0.94049764,1
7226,7226,0.8979166,1
7226,7226,0.9183852,1
7226,7226,0.9250372,1
7226,7226,0.9511238,1
7226,7226,0.9377601,1
7226,7226,0.9285842,1
7226,7226,0.8943559,1
7226,7226,0.8652465,1
7226,7226,0.8326451,1
7226,7226,0.8934503,1
7226,7226,0.84253746,1
7226,7226,0.8297571,1
7226,7226,0.7337108,1
7226,7226,0.87049294,1
7226,7226,0.8495343,1
7226,7226,0.63164294,1
7226,7226,0.83071256,1
7226,7226,0.83950377,1
7226,7226,0.89862925,1
7226,7226,0.8750549,1
7226,7226,0.8081361,1
7226,7226,0.78833055,1
7226,7226,0.7715456,1
7226,7226,0.8903381,1
7226,7226,0.7564037,1
7226,7226,0.7465622,1
7226,7226,0.861501,1
7226,7226,0.75772995,1
7226,7226,0.86787486,1
7226,7226,0.8631925,1
7226,7226,0.9291492,1
7226,7226,0.8832296,1
7226,7226,0.7701838,1
7226,7226,0.92873555,1
7226,7226,0.9369695,1
7226,7226,0.92903566,1
7226,7226,0.9645585,1
7226,7226,0.9200346,1
7226,7226,0.925314,1
7226,7226,0.94855684,1
7226,7226,0.93620414,1
7226,7226,0.922257,1
7226,7226,0.9729378,1
7226,7226,0.9687088,1
7226,7226,0.95504427,1
7226,7264,0.1338648,0
7226,7264,0.22326873,0
7226,7264,0.16505852,0
7226,7264,0.25969338,0
7226,7264,0.22498886,0
7226,7264,0.22095649,0
7226,7264,0.182302,0
7226,7264,0.1503684,0
7226,7264,0.1587276,0
7226,7264,0.1940365,0
7226,7264,0.1751288,0
7226,7264,0.104563035,0
7226,7278,0.06797207,0
7226,7278,-0.060040694,0
7226,7278,-0.112103805,0
7226,7278,-0.080721125,0
7226,7278,-0.023215659,0
7226,7278,-0.081952,0
7226,7278,0.6024779,0
7226,7278,0.36434764,0
7226,7278,0.53489685,0
7226,7278,0.05987844,0
7226,7278,0.2187878,0
7226,7278,0.11501975,0
7226,7278,0.19470517,0
7226,7278,-0.004145253,0
7226,7278,-0.022828901,0
7226,7278,0.047411177,0
7226,7302,0.06847004,0
7226,7302,0.1170094,0
7226,7302,0.002983641,0
7226,7302,0.04567675,0
7226,7302,0.04480994,0
7226,7302,0.07405344,0
7226,7302,0.022026747,0
7226,730,0.32378405,0
7226,730,0.28527945,0
7226,730,0.2747034,0
7226,730,0.23943353,0
7226,730,0.4080366,0
7226,730,0.34057668,0
7226,730,0.40889114,0
7226,7312,0.35296974,0
7226,7312,0.44935638,0
7226,7312,0.42432004,0
7226,7367,0.011248416,0
7226,7367,0.0017911003,0
7226,7367,0.022985011,0
7226,7367,-0.09174954,0
7226,7367,-0.00082066184,0
7226,7367,0.01739061,0
7226,7402,-0.021033108,0
7226,7402,-0.028331812,0
7226,7402,0.0060468256,0
7226,7402,-0.045307834,0
7226,7402,-0.09975093,0
7226,7402,-0.06088993,0
7226,7402,-0.14796206,0
7226,7402,-0.06015835,0
7226,7402,-0.11779224,0
7226,7402,-0.093131505,0
7226,7402,-0.08499031,0
7226,7402,-0.11048017,0
7226,7402,-0.112038665,0
7226,7402,-0.06073171,0
7226,7447,0.48872465,0
7226,7447,0.6692034,0
7226,7447,0.420435,0
7226,7447,0.62261647,0
7226,7447,0.6523087,0
7226,7447,0.42555004,0
7226,7447,0.5338221,0
7226,7447,0.52748007,0
7226,7447,0.46705315,0
7226,7447,0.36229962,0
7226,7505,0.23504056,0
7226,7505,0.17215262,0
7226,7505,0.23450373,0
7226,7505,0.20172712,0
7226,7505,0.23240896,0
7226,7505,0.19332382,0
7226,7505,0.31575254,0
7226,7505,0.23877573,0
7226,7505,0.29652587,0
7226,7505,0.226427,0
7226,7511,-0.08891184,0
7226,7511,-0.1543875,0
7226,7511,-0.1543035,0
7226,7511,-0.14966102,0
7226,7511,-0.036335606,0
7226,7511,-0.10478901,0
7226,7517,0.028042633,0
7226,7517,0.009783182,0
7226,7517,0.09934111,0
7226,7517,0.1780199,0
7226,7517,0.19138265,0
7226,7517,-0.02853491,0
7226,7635,-0.25666434,0
7226,7635,-0.26631054,0
7226,7635,-0.2793764,0
7226,7635,-0.31665555,0
7226,7635,-0.29111594,0
7226,7635,-0.33078557,0
7226,7635,-0.3013347,0
7226,7635,-0.34288296,0
7226,7635,-0.27342376,0
7226,7635,-0.32492903,0
7226,7635,-0.27839267,0
7226,7780,0.11763361,0
7226,7780,0.13600397,0
7226,7780,-0.046441108,0
7226,7780,0.18944505,0
7226,7780,0.04871772,0
7226,7780,0.08162803,0
7226,7794,-0.1003251,0
7226,7794,-0.058105066,0
7226,7794,-0.10254563,0
7226,7794,-0.058675528,0
7226,7794,-0.011274135,0
7226,7794,-0.12448073,0
7226,7794,-0.045372717,0
7226,7794,-0.096972495,0
7226,7794,-0.22390291,0
7226,7794,-0.0010351745,0
7226,7800,-0.13369331,0
7226,7800,-0.14172715,0
7226,7800,-0.12700656,0
7226,7800,-0.11838886,0
7226,7800,-0.1510758,0
7226,7800,-0.15066446,0
7226,7800,-0.10383326,0
7226,7800,-0.15277116,0
7226,7800,-0.09672317,0
7226,7800,-0.11925515,0
7226,7800,-0.05895919,0
