Speaker A,Speaker B,Score,Test
7226,7226,0.8908853,1
7226,7226,0.9137188,1
7226,7226,0.9251719,1
7226,7226,0.90058404,1
7226,7226,0.9362368,1
7226,7226,0.92243403,1
7226,7226,0.8766075,1
7226,7226,0.8174844,1
7226,7226,0.9411492,1
7226,7226,0.73307794,1
7226,7226,0.8237341,1
7226,7226,0.9043893,1
7226,7226,0.9287897,1
7226,7226,0.7714188,1
7226,7226,0.88875383,1
7226,7226,0.9226646,1
7226,7226,0.8327208,1
7226,7226,0.85571986,1
7226,7226,0.85761625,1
7226,7226,0.8215929,1
7226,7226,0.7316177,1
7226,7226,0.9094247,1
7226,7226,0.7615053,1
7226,7226,0.91357034,1
7226,7226,0.787129,1
7226,7226,0.79952574,1
7226,7226,0.6158342,1
7226,7226,0.91045845,1
7226,7226,0.7263224,1
7226,7226,0.9069895,1
7226,7226,0.71676517,1
7226,7226,0.5754276,1
7226,7226,0.5926305,1
7226,7226,0.87024593,1
7226,7226,0.6786743,1
7226,7226,0.7111822,1
7226,7226,0.8197114,1
7226,7226,0.90340406,1
7226,7226,0.8990164,1
7226,7226,0.69946665,1
7226,7226,0.8264386,1
7226,7226,0.73034185,1
7226,7226,0.916109,1
7226,7226,0.67776316,1
7226,7226,0.78282046,1
7226,7226,0.6966669,1
7226,7226,0.9161017,1
7226,7226,0.726143,1
7226,7226,0.7457308,1
7226,7226,0.69982576,1
7226,7226,0.8809228,1
7226,7226,0.8078446,1
7226,7226,0.8142732,1
7226,7226,0.7136793,1
7226,7226,0.92018753,1
7226,7226,0.6948486,1
7226,7226,0.6718044,1
7226,7226,0.7173883,1
7226,7226,0.75035536,1
7226,7226,0.91391367,1
7226,7226,0.82919604,1
7226,7226,0.8462264,1
7226,7226,0.8422303,1
7226,7226,0.91990685,1
7226,7226,0.8315196,1
7226,7226,0.8374747,1
7226,7226,0.8467993,1
7226,7226,0.945286,1
7226,7226,0.70806056,1
7226,7226,0.7373937,1
7226,7226,0.7306839,1
7226,7226,0.9005084,1
7226,7226,0.8165863,1
7226,7226,0.8018446,1
7226,7226,0.8453231,1
7226,7226,0.8818736,1
7226,7226,0.897483,1
7226,7226,0.920127,1
7226,7226,0.9310254,1
7226,7226,0.92285293,1
7226,7226,0.9310924,1
7226,7226,0.8862119,1
7226,7226,0.86057127,1
7226,7226,0.8994671,1
7226,7226,0.88265795,1
7226,7226,0.9231007,1
7226,7226,0.88832265,1
7226,7226,0.87000453,1
7226,7226,0.8706727,1
7226,7226,0.93201697,1
7226,7226,0.89390683,1
7226,7226,0.8375918,1
7226,7226,0.90113115,1
7226,7226,0.93406194,1
7226,7226,0.9272324,1
7226,7226,0.8992868,1
7226,7226,0.9110809,1
7226,7226,0.9445226,1
7226,7226,0.91520166,1
7226,7226,0.800899,1
7226,7226,0.94920295,1
7226,7226,0.9290084,1
7226,7226,0.90323144,1
7226,7226,0.9119868,1
7226,7264,0.13317992,0
7226,7264,0.06766309,0
7226,7264,0.08997304,0
7226,7264,0.24840261,0
7226,7264,0.113198,0
7226,7264,0.13658452,0
7226,7264,0.04973938,0
7226,7264,0.09035057,0
7226,7264,0.16208854,0
7226,7264,0.21582262,0
7226,7264,0.21847145,0
7226,7264,0.13292363,0
7226,7264,0.10146167,0
7226,7264,0.08127824,0
7226,7264,0.0751423,0
7226,7264,0.15409304,0
7226,7278,-0.10172312,0
7226,7278,-0.09537886,0
7226,7278,-0.088593535,0
7226,7278,-0.076145396,0
7226,7278,-0.07798674,0
7226,7278,-0.04762236,0
7226,7278,-0.019565022,0
7226,7278,0.35105795,0
7226,7278,0.5058397,0
7226,7278,0.5533897,0
7226,7278,0.62197876,0
7226,7278,0.20968999,0
7226,7278,0.12967914,0
7226,7278,0.11937797,0
7226,7278,0.035903994,0
7226,7278,0.14314032,0
7226,7278,-0.08257016,0
7226,7278,-0.07753642,0
7226,7278,0.0066425675,0
7226,7278,0.02607632,0
7226,7278,-0.063437045,0
7226,7278,-0.018097468,0
7226,7278,0.039837107,0
7226,7302,0.0388603,0
7226,7302,0.054310113,0
7226,7302,0.08022186,0
7226,7302,0.030999882,0
7226,7302,0.0320824,0
7226,7302,-0.0038859805,0
7226,7302,0.06588373,0
7226,7302,0.042487722,0
7226,7302,0.03363159,0
7226,7302,0.062781416,0
7226,7302,0.06450157,0
7226,7302,0.09110784,0
7226,7302,0.059436798,0
7226,7302,0.09915726,0
7226,7302,0.1425366,0
7226,7302,0.046507522,0
7226,7302,0.022590062,0
7226,7302,0.09623143,0
7226,7302,-0.0052084024,0
7226,7302,-0.022476451,0
7226,7302,0.14822833,0
7226,7302,0.08830812,0
7226,730,0.08783765,0
7226,730,0.3863657,0
7226,730,0.18076406,0
7226,730,0.30024195,0
7226,730,0.14554022,0
7226,730,0.22993425,0
7226,730,0.40635228,0
7226,730,0.47702694,0
7226,730,0.32578093,0
7226,730,0.26036316,0
7226,730,0.37649173,0
7226,7312,0.28525996,0
7226,7312,0.33860835,0
7226,7312,0.26831338,0
7226,7312,0.25909513,0
7226,7312,0.2245042,0
7226,7367,0.053282492,0
7226,7367,-0.0044581895,0
7226,7367,-0.07539666,0
7226,7367,-0.11690704,0
7226,7367,0.029008305,0
7226,7367,-0.13885275,0
7226,7367,0.100752324,0
7226,7367,-0.0029845887,0
7226,7367,-0.0344381,0
7226,7367,-0.033634394,0
7226,7367,-0.14058152,0
7226,7367,-0.062443312,0
7226,7367,-0.09707391,0
7226,7367,0.036517765,0
7226,7367,0.066073656,0
7226,7367,0.08508528,0
7226,7367,-0.020829398,0
7226,7367,0.0634009,0
7226,7367,-0.0032433365,0
7226,7367,0.09579556,0
7226,7367,0.02298364,0
7226,7402,-0.09069696,0
7226,7402,-0.088677056,0
7226,7402,-0.07998442,0
7226,7402,-0.11031266,0
7226,7402,-0.05932027,0
7226,7402,-0.03515787,0
7226,7402,-0.10578795,0
7226,7402,-0.075924106,0
7226,7402,-0.13483107,0
7226,7402,-0.12294304,0
7226,7402,-0.20946312,0
7226,7402,-0.115240194,0
7226,7402,-0.1300104,0
7226,7402,-0.08661663,0
7226,7402,-0.1076499,0
7226,7402,-0.09234938,0
7226,7402,-0.0780732,0
7226,7402,-0.11713955,0
7226,7402,-0.095621794,0
7226,7402,-0.08899987,0
7226,7402,-0.1278377,0
7226,7402,-0.012995993,0
7226,7402,0.00729582,0
7226,7402,-0.06407046,0
7226,7447,0.27363986,0
7226,7447,0.68118954,0
7226,7447,0.5830245,0
7226,7447,0.34670967,0
7226,7447,0.6731796,0
7226,7447,0.6400724,0
7226,7447,0.5478223,0
7226,7447,0.5226647,0
7226,7447,0.5889059,0
7226,7447,0.72979,0
7226,7447,0.6014278,0
7226,7447,0.56258154,0
7226,7447,0.48072514,0
7226,7447,0.46299306,0
7226,7447,0.6158229,0
7226,7447,0.36985514,0
7226,7447,0.32014248,0
7226,7447,0.36945614,0
7226,7447,0.40666014,0
7226,7447,0.32703683,0
7226,7447,0.45509762,0
7226,7447,0.25150093,0
7226,7447,0.61478543,0
7226,7505,0.28599906,0
7226,7505,0.18699521,0
7226,7505,0.27665532,0
7226,7505,0.40305224,0
7226,7505,0.15403481,0
7226,7505,0.28288537,0
7226,7505,0.4564654,0
7226,7505,0.3214141,0
7226,7505,0.2915009,0
7226,7505,0.2690813,0
7226,7505,0.14148763,0
7226,7511,-0.03589244,0
7226,7511,-0.11928078,0
7226,7511,-0.024925807,0
7226,7511,-0.035279684,0
7226,7511,-0.091867246,0
7226,7511,-0.1059292,0
7226,7511,-0.07371874,0
7226,7511,-0.063717075,0
7226,7511,-0.115761176,0
7226,7511,-0.12398968,0
7226,7511,-0.13727018,0
7226,7511,-0.089078516,0
7226,7511,-0.045528673,0
7226,7511,-0.16401842,0
7226,7511,-0.20799392,0
7226,7511,-0.092971124,0
7226,7511,-0.08214749,0
7226,7511,-0.093418576,0
7226,7511,-0.20157582,0
7226,7511,-0.14191166,0
7226,7511,-0.073376715,0
7226,7511,-0.007631085,0
7226,7511,-0.063050196,0
7226,7511,-0.10288379,0
7226,7511,0.027285472,0
7226,7511,-0.120436214,0
7226,7517,-0.04297319,0
7226,7517,0.15160887,0
7226,7517,0.07097972,0
7226,7517,0.07589395,0
7226,7517,0.099366106,0
7226,7517,0.033876102,0
7226,7517,0.06487796,0
7226,7517,-0.003613009,0
7226,7517,-0.15465415,0
7226,7517,0.23955896,0
7226,7517,0.29250348,0
7226,7517,0.34192213,0
7226,7517,0.16856192,0
7226,7517,0.19526291,0
7226,7517,0.24636737,0
7226,7517,0.21288508,0
7226,7517,0.0694067,0
7226,7517,0.008443365,0
7226,7517,0.0066948743,0
7226,7517,0.035240218,0
7226,7517,0.03633532,0
7226,7517,0.030834667,0
7226,7517,0.05467603,0
7226,7635,-0.2830513,0
7226,7635,-0.29120615,0
7226,7635,-0.24949993,0
7226,7635,-0.28084502,0
7226,7635,-0.3051333,0
7226,7635,-0.29765493,0
7226,7635,-0.27557978,0
7226,7635,-0.2619878,0
7226,7635,-0.24198975,0
7226,7635,-0.23359953,0
7226,7635,-0.18445183,0
7226,7635,-0.218114,0
7226,7635,-0.27410623,0
7226,7635,-0.2631047,0
7226,7635,-0.21894357,0
7226,7635,-0.25377437,0
7226,7780,0.2353703,0
7226,7780,0.0897228,0
7226,7780,0.12248577,0
7226,7780,0.10931948,0
7226,7780,-0.028136611,0
7226,7780,-0.07583756,0
7226,7780,0.13663507,0
7226,7780,0.07854408,0
7226,7780,0.06324187,0
7226,7780,-0.016993126,0
7226,7780,0.02027748,0
