Speaker A,Speaker B,Score,Test
7226,7226,0.99306905,1
7226,7226,0.9964436,1
7226,7226,0.99372387,1
7226,7226,0.9923805,1
7226,7226,0.9846821,1
7226,7226,0.9756572,1
7226,7226,0.9942427,1
7226,7226,0.9913893,1
7226,7226,0.9929278,1
7226,7226,0.9885326,1
7226,7226,0.98319036,1
7226,7226,0.982122,1
7226,7226,0.98556536,1
7226,7226,0.9736381,1
7226,7226,0.96993256,1
7226,7226,0.97897184,1
7226,7226,0.9743005,1
7226,7226,0.9753539,1
7226,7226,0.97948503,1
7226,7226,0.9859665,1
7226,7226,0.9794419,1
7226,7226,0.96001244,1
7226,7226,0.9729444,1
7226,7226,0.98640823,1
7226,7226,0.9646466,1
7226,7226,0.98609424,1
7226,7226,0.9671896,1
7226,7226,0.9851497,1
7226,7226,0.9574922,1
7226,7226,0.9617656,1
7226,7226,0.97968894,1
7226,7226,0.9805406,1
7226,7226,0.97628,1
7226,7226,0.99273276,1
7226,7226,0.9794425,1
7226,7226,0.9816194,1
7226,7226,0.98659265,1
7226,7226,0.9769242,1
7226,7226,0.97794414,1
7226,7226,0.98888165,1
7226,7226,0.9945557,1
7226,7226,0.9944709,1
7226,7226,0.9912864,1
7226,7226,0.9961893,1
7226,7226,0.9966689,1
7226,7226,0.9908391,1
7226,7226,0.98902607,1
7226,7226,0.9923497,1
7226,7226,0.9977734,1
7226,7226,0.9951905,1
7226,7226,0.9953697,1
7226,7226,0.9962501,1
7226,7226,0.9945047,1
7226,7264,0.743052,0
7226,7264,0.72387445,0
7226,7264,0.7484825,0
7226,7264,0.757974,0
7226,7264,0.7505404,0
7226,7264,0.73620784,0
7226,7264,0.77565444,0
7226,7264,0.73778677,0
7226,7264,0.7696425,0
7226,7264,0.7304112,0
7226,7264,0.7360653,0
7226,7264,0.785292,0
7226,7278,0.6776912,0
7226,7278,0.9088422,0
7226,7278,0.7170221,0
7226,7278,0.705147,0
7226,7278,0.6519419,0
7226,7278,0.6266514,0
7226,7278,0.67152476,0
7226,7302,0.63495624,0
7226,7302,0.65024227,0
7226,7302,0.6425208,0
7226,7302,0.6225606,0
7226,7302,0.6516973,0
7226,7302,0.6608069,0
7226,7302,0.6320716,0
7226,7302,0.65572494,0
7226,7302,0.6237532,0
7226,7302,0.6300875,0
7226,730,0.83694196,0
7226,730,0.8210381,0
7226,730,0.7652968,0
7226,730,0.82731265,0
7226,730,0.820019,0
7226,730,0.84169436,0
7226,730,0.79816294,0
7226,7367,0.6755223,0
7226,7367,0.6440587,0
7226,7367,0.6952075,0
7226,7367,0.6691078,0
7226,7367,0.7003218,0
7226,7367,0.6802967,0
7226,7367,0.63062847,0
7226,7367,0.6586904,0
7226,7402,0.5949378,0
7226,7402,0.62743986,0
7226,7402,0.64136064,0
7226,7402,0.5965566,0
7226,7402,0.6136725,0
7226,7402,0.6077683,0
7226,7402,0.6135525,0
7226,7402,0.6114545,0
7226,7402,0.61971605,0
7226,7402,0.59985363,0
7226,7402,0.62347317,0
7226,7402,0.592008,0
7226,7402,0.5990623,0
7226,7402,0.5958086,0
7226,7447,0.9080199,0
7226,7447,0.93719685,0
7226,7447,0.90617,0
7226,7447,0.928298,0
7226,7447,0.8911974,0
7226,7447,0.8930211,0
7226,7505,0.7884525,0
7226,7505,0.7725769,0
7226,7505,0.814739,0
7226,7505,0.7948296,0
7226,7511,0.67396575,0
7226,7511,0.5931603,0
7226,7511,0.63708293,0
7226,7511,0.6217059,0
7226,7511,0.6122859,0
7226,7511,0.62390846,0
7226,7517,0.6393739,0
7226,7517,0.6897407,0
7226,7517,0.6418476,0
7226,7517,0.7084421,0
7226,7517,0.7163961,0
7226,7517,0.72098607,0
7226,7517,0.72748786,0
7226,7517,0.6875486,0
7226,7517,0.6351006,0
7226,7517,0.6393241,0
7226,7635,0.46101338,0
7226,7635,0.47541785,0
7226,7635,0.429784,0
7226,7635,0.47405207,0
7226,7635,0.45742428,0
7226,7635,0.4430223,0
7226,7635,0.45752642,0
7226,7635,0.44284764,0
7226,7780,0.7412377,0
7226,7780,0.7340123,0
7226,7780,0.7271737,0
7226,7780,0.7785305,0
7226,7780,0.7344941,0
7226,7780,0.710786,0
7226,7780,0.7264403,0
7226,7780,0.7381085,0
7226,7780,0.72307,0
7226,7780,0.7499602,0
7226,7780,0.73363936,0
7226,7780,0.7296016,0
7226,7780,0.7172328,0
7226,7780,0.6441364,0
7226,7794,0.6150538,0
7226,7794,0.623837,0
7226,7794,0.59162354,0
7226,7794,0.6254267,0
7226,7794,0.6339114,0
7226,7794,0.61213875,0
7226,7794,0.5446936,0
7226,7800,0.5964617,0
7226,7800,0.60411406,0
7226,7800,0.62505585,0
7226,7800,0.6338833,0
7226,7800,0.6338502,0
7226,7800,0.6381043,0
7226,7800,0.58433247,0
7226,7800,0.59272313,0
7226,7800,0.6224015,0
7226,7800,0.5844479,0
7226,7800,0.5830444,0
7226,7859,0.7059216,0
7226,7859,0.71991265,0
7226,7859,0.6485498,0
7226,7859,0.6766796,0
7226,7859,0.70492375,0
7226,7859,0.7314837,0
7226,7859,0.76727605,0
7226,7859,0.7501391,0
7226,7859,0.6948459,0
7226,78,0.82636255,0
7226,78,0.82263577,0
7226,78,0.81660044,0
7226,78,0.7519318,0
7226,78,0.77139044,0
7226,8014,0.6098987,0
7226,8014,0.5707018,0
7226,8014,0.6229514,0
7226,8014,0.61437964,0
7226,8014,0.58267075,0
7226,8014,0.6135483,0
7226,8014,0.5947789,0
7226,8051,0.5470208,0
7226,8051,0.5605595,0
7226,8051,0.5257889,0
7226,8051,0.55259764,0
7226,8051,0.52560365,0
7226,8051,0.5562731,0
7226,8051,0.5501063,0
7226,8063,0.71720374,0
7226,8063,0.73190796,0
7226,8063,0.6947984,0
7226,8063,0.72961235,0
7226,8063,0.72384715,0
7226,8063,0.721473,0
7226,8063,0.6851871,0
7226,8063,0.6783106,0
7226,8063,0.73194474,0
7226,8063,0.72698367,0
7226,8063,0.69623715,0
7226,8063,0.73715854,0
7226,8088,0.6836661,0
7226,8088,0.7031992,0
7226,8088,0.6239935,0
7226,8088,0.68052316,0
7226,8088,0.666744,0
7226,8088,0.6636777,0
7226,8088,0.6595714,0
7226,8088,0.6809689,0
7226,8088,0.6808236,0
7226,8088,0.64140135,0
7226,8095,0.6825059,0
7226,8095,0.66782665,0
7226,8095,0.64100087,0
7226,8095,0.6311897,0
7226,8095,0.66891587,0
7226,8098,0.7338908,0
7226,8098,0.72822464,0
7226,8098,0.6707833,0
7226,8098,0.69378287,0
7226,8098,0.7786513,0
7226,8098,0.8137698,0
7226,8098,0.76288503,0
7226,8098,0.783695,0
7226,8098,0.73749065,0
7226,8108,0.81692404,0
7226,8108,0.79497916,0
7226,8108,0.87107885,0
7226,8108,0.8662385,0
7226,8108,0.8597139,0
7226,8108,0.8182274,0
7226,8108,0.8454234,0
7226,8108,0.8543571,0
7226,8108,0.8491684,0
7226,8108,0.79322225,0
7226,8108,0.8615458,0
7226,8123,0.6520321,0
7226,8123,0.6829503,0
7226,8123,0.6926968,0
7226,8123,0.63665295,0
7226,8123,0.68785787,0
7226,8123,0.66287065,0
7226,8123,0.6474602,0
7226,8123,0.63693595,0
7226,8123,0.6392215,0
7226,8226,0.69972944,0
7226,8226,0.71125805,0
7226,8226,0.67883754,0
7226,8226,0.70217943,0
7226,8226,0.71165,0
7226,8226,0.6541983,0
7226,8238,0.6262617,0
7226,8238,0.60350645,0
7226,8238,0.6016947,0
7226,8238,0.6537082,0
7226,8238,0.553439,0
7226,8238,0.5687837,0
7226,8238,0.65269923,0
7226,8238,0.5867586,0
7226,8238,0.5824065,0
7226,8238,0.70996904,0
7226,8238,0.6424637,0
7226,8312,0.5626257,0
7226,8312,0.5652206,0
7226,8312,0.66356105,0
