Speaker A,Speaker B,Score,Test
7226,7226,0.9838366,1
7226,7226,0.99072117,1
7226,7226,0.99279773,1
7226,7226,0.99423814,1
7226,7226,0.9836291,1
7226,7226,0.99153376,1
7226,7226,0.9936639,1
7226,7226,0.98958635,1
7226,7226,0.97738475,1
7226,7226,0.98918056,1
7226,7226,0.99253744,1
7226,7226,0.9675099,1
7226,7226,0.9587359,1
7226,7226,0.97743726,1
7226,7226,0.991373,1
7226,7226,0.9833326,1
7226,7226,0.95998096,1
7226,7226,0.9919489,1
7226,7226,0.9917822,1
7226,7226,0.98697937,1
7226,7226,0.976339,1
7226,7226,0.97878486,1
7226,7226,0.95784855,1
7226,7226,0.99211586,1
7226,7226,0.95909095,1
7226,7226,0.96996903,1
7226,7226,0.9629198,1
7226,7226,0.93096554,1
7226,7226,0.9842855,1
7226,7226,0.95960975,1
7226,7226,0.9866553,1
7226,7226,0.9551446,1
7226,7226,0.9345334,1
7226,7226,0.9440901,1
7226,7226,0.985193,1
7226,7226,0.95654714,1
7226,7226,0.9894511,1
7226,7226,0.95450747,1
7226,7226,0.9741713,1
7226,7226,0.9909437,1
7226,7226,0.9558524,1
7226,7226,0.9663271,1
7226,7226,0.9649222,1
7226,7226,0.9458022,1
7226,7226,0.96127284,1
7226,7226,0.92758083,1
7226,7226,0.97279537,1
7226,7226,0.95715797,1
7226,7226,0.9631233,1
7226,7226,0.9495406,1
7226,7226,0.9810752,1
7226,7226,0.96954954,1
7226,7226,0.9772198,1
7226,7226,0.9690101,1
7226,7226,0.9543464,1
7226,7226,0.95661545,1
7226,7226,0.9653115,1
7226,7226,0.9698235,1
7226,7226,0.98888874,1
7226,7226,0.97737455,1
7226,7226,0.9811694,1
7226,7226,0.9659854,1
7226,7226,0.97857547,1
7226,7226,0.9938994,1
7226,7226,0.9775445,1
7226,7226,0.9752084,1
7226,7226,0.9775743,1
7226,7226,0.97998667,1
7226,7226,0.95962465,1
7226,7226,0.9646637,1
7226,7226,0.95963633,1
7226,7226,0.96804774,1
7226,7226,0.9825406,1
7226,7226,0.976133,1
7226,7226,0.96782446,1
7226,7226,0.98432195,1
7226,7226,0.9919308,1
7226,7226,0.9886875,1
7226,7226,0.9881567,1
7226,7226,0.9915199,1
7226,7226,0.99099725,1
7226,7226,0.988668,1
7226,7226,0.9798844,1
7226,7226,0.98321193,1
7226,7226,0.98869944,1
7226,7226,0.98258924,1
7226,7226,0.99445736,1
7226,7226,0.98841023,1
